1		0.353461
2		0.354098
3		0.35476
4		0.355407
5		0.35607
6		0.356733
7		0.35738
8		0.358032
9		0.358707
10		0.359364
11		0.360016
12		0.360679
13		0.361335
14		0.361992
15		0.362663
16		0.363318
17		0.363966
18		0.364667
19		0.365361
20		0.366057
21		0.366728
22		0.367407
23		0.368086
24		0.368778
25		0.369457
26		0.370139
27		0.370816
28		0.371498
29		0.372175
30		0.37285
31		0.373537
32		0.374225
33		0.374865
34		0.3755
35		0.376032
36		0.376564
37		0.377089
38		0.37761
39		0.378383
40		0.378997
41		0.379614
42		0.380184
43		0.380747
44		0.381322
45		0.381881
46		0.382436
47		0.382962
48		0.383462
49		0.383961
50		0.38447
